ticker,fold,config,feat_set,n_features,horizon,n_train,n_test,eff_test,rmse_ret,rmse_rw,rmse_ratio,dir_acc,dir_baseline,dir_edge
AAPL,0,base_h1,base,18,1,444,100,100.0,0.014974498722097242,0.0141941570080404,1.0549762633747684,0.494949494949495,0.5757575757575758,-0.08080808080808083
AAPL,1,base_h1,base,18,1,544,100,100.0,0.014206253649683486,0.012158887220111736,1.1683843589062368,0.53,0.54,-0.010000000000000009
AAPL,2,base_h1,base,18,1,644,100,100.0,0.012425911987104545,0.011351190537506701,1.094679183302116,0.55,0.47,0.08000000000000007
AAPL,3,base_h1,base,18,1,744,100,100.0,0.018609593276582386,0.017409299268947673,1.068945566911796,0.44,0.63,-0.19
AAPL,4,base_h1,base,18,1,844,100,100.0,0.01253383393119283,0.011563164468805167,1.0839449672281591,0.5454545454545454,0.6060606060606061,-0.06060606060606066
AAPL,0,ext_h1,ext,29,1,244,100,100.0,0.01853864053337869,0.0141941570080404,1.3060754874613067,0.46464646464646464,0.5757575757575758,-0.11111111111111116
AAPL,1,ext_h1,ext,29,1,344,100,100.0,0.014221366954474833,0.012158887220111736,1.1696273431134057,0.57,0.54,0.029999999999999916
AAPL,2,ext_h1,ext,29,1,444,100,100.0,0.012565089634541414,0.011351190537506701,1.1069402449922532,0.49,0.47,0.020000000000000018
AAPL,3,ext_h1,ext,29,1,544,100,100.0,0.018531194279251754,0.017409299268947673,1.064442284147827,0.43,0.63,-0.2
AAPL,4,ext_h1,ext,29,1,644,100,100.0,0.013631688589890537,0.011563164468805167,1.1788891031227469,0.45454545454545453,0.6060606060606061,-0.15151515151515155
AAPL,0,ext_h5,ext,29,5,240,100,20.0,0.04198506865713064,0.03206618253020685,1.3093254433258479,0.5,0.74,-0.24
AAPL,1,ext_h5,ext,29,5,340,100,20.0,0.03622941885104807,0.030909679250087797,1.172105946422759,0.57,0.53,0.039999999999999925
AAPL,2,ext_h5,ext,29,5,440,100,20.0,0.03946353578456522,0.030663149390277977,1.2870020389059411,0.44,0.53,-0.09000000000000002
AAPL,3,ext_h5,ext,29,5,540,100,20.0,0.049773569683487846,0.03964188524411073,1.255580287793762,0.49,0.59,-0.09999999999999998
AAPL,4,ext_h5,ext,29,5,640,96,19.2,0.030098856897625672,0.024289672879375893,1.2391627111282464,0.3958333333333333,0.6770833333333334,-0.28125000000000006
AAPL,0,ext_h20,ext,29,20,225,100,5.0,0.08085840855330552,0.0767919276492735,1.0529545360888006,0.34,0.93,-0.5900000000000001
AAPL,1,ext_h20,ext,29,20,325,100,5.0,0.05849808104337669,0.048530345184507814,1.205391818685247,0.64,0.53,0.10999999999999999
AAPL,2,ext_h20,ext,29,20,425,100,5.0,0.0689400790679717,0.05725909381615108,1.2040022723608972,0.41,0.45,-0.040000000000000036
AAPL,3,ext_h20,ext,29,20,525,100,5.0,0.07692434698553532,0.08806336196632666,0.873511358957081,0.7,0.8,-0.10000000000000009
AAPL,4,ext_h20,ext,29,20,625,81,4.0,0.055518869773961824,0.05316270997761564,1.04431978349746,0.5061728395061729,0.7160493827160493,-0.20987654320987648
MSFT,0,base_h1,base,18,1,444,100,100.0,0.018098738476282007,0.018399819175330664,0.9836367577213841,0.61,0.51,0.09999999999999998
MSFT,1,base_h1,base,18,1,544,100,100.0,0.015714801436715987,0.013885138158820191,1.131771341197174,0.48,0.54,-0.06000000000000005
MSFT,2,base_h1,base,18,1,644,100,100.0,0.013961750745903778,0.012892618897948386,1.0829258862313478,0.48,0.58,-0.09999999999999998
MSFT,3,base_h1,base,18,1,744,100,100.0,0.01345970767663362,0.012576823335858208,1.0701993116384318,0.54,0.53,0.010000000000000009
MSFT,4,base_h1,base,18,1,844,100,100.0,0.013294427681545345,0.012389170512949604,1.0730684243670336,0.62,0.57,0.050000000000000044
MSFT,0,ext_h1,ext,29,1,244,100,100.0,0.026604620900673153,0.018399819175330664,1.4459175194690488,0.51,0.51,0.0
MSFT,1,ext_h1,ext,29,1,344,100,100.0,0.015425131766934178,0.013885138158820191,1.110909491176776,0.51,0.54,-0.030000000000000027
MSFT,2,ext_h1,ext,29,1,444,100,100.0,0.015225761590203944,0.012892618897948386,1.1809673201948778,0.49,0.58,-0.08999999999999997
MSFT,3,ext_h1,ext,29,1,544,100,100.0,0.014572383712570332,0.012576823335858208,1.158669667484516,0.52,0.53,-0.010000000000000009
MSFT,4,ext_h1,ext,29,1,644,100,100.0,0.013578829680438295,0.012389170512949604,1.0960241176957906,0.5,0.57,-0.06999999999999995
MSFT,0,ext_h5,ext,29,5,240,100,20.0,0.07340088575145563,0.040064451912561465,1.832070133185627,0.25,0.76,-0.51
MSFT,1,ext_h5,ext,29,5,340,100,20.0,0.0323749642552582,0.02633870927884501,1.2291780858548544,0.49,0.49,0.0
MSFT,2,ext_h5,ext,29,5,440,100,20.0,0.036998675479007585,0.025910795586095197,1.4279251038845986,0.54,0.71,-0.16999999999999993
MSFT,3,ext_h5,ext,29,5,540,100,20.0,0.03367605472536456,0.029058820075928308,1.158892709248751,0.45,0.53,-0.08000000000000002
MSFT,4,ext_h5,ext,29,5,640,96,19.2,0.029143845106657792,0.02709680213867062,1.0755455554316418,0.59375,0.5625,0.03125
MSFT,0,ext_h20,ext,29,20,225,100,5.0,0.1839998434956765,0.08948039990475798,2.05631449671128,0.12,0.88,-0.76
MSFT,1,ext_h20,ext,29,20,325,100,5.0,0.10067614521213791,0.05247329728442166,1.9186167140677621,0.39,0.58,-0.18999999999999995
MSFT,2,ext_h20,ext,29,20,425,100,5.0,0.06826909979449133,0.05940597933455199,1.1491957637803698,0.48,0.79,-0.31000000000000005
MSFT,3,ext_h20,ext,29,20,525,100,5.0,0.0676880949484595,0.06106967529125152,1.1083748951610373,0.55,0.48,0.07000000000000006
MSFT,4,ext_h20,ext,29,20,625,81,4.0,0.06467418075609309,0.036159557369628344,1.7885777775149194,0.5679012345679012,0.6419753086419753,-0.07407407407407407
SPY,0,base_h1,base,18,1,444,100,100.0,0.009552264698471383,0.00963114257689129,0.9918101224449563,0.62,0.54,0.07999999999999996
SPY,1,base_h1,base,18,1,544,100,100.0,0.009097779868599467,0.007081534175610286,1.2847187689827706,0.494949494949495,0.5252525252525253,-0.03030303030303033
SPY,2,base_h1,base,18,1,644,100,100.0,0.008082146347293416,0.00743196749558342,1.0874840817181153,0.48,0.61,-0.13
SPY,3,base_h1,base,18,1,744,100,100.0,0.008994757154037534,0.008230214920061386,1.0928945648931419,0.49,0.59,-0.09999999999999998
SPY,4,base_h1,base,18,1,844,100,100.0,0.008988781429292561,0.00800399950883811,1.1230362294958969,0.47,0.61,-0.14
SPY,0,ext_h1,ext,29,1,244,100,100.0,0.012625863064696178,0.00963114257689129,1.3109413513398027,0.51,0.54,-0.030000000000000027
SPY,1,ext_h1,ext,29,1,344,100,100.0,0.009102203303896156,0.007081534175610286,1.2853434126245291,0.4444444444444444,0.5252525252525253,-0.08080808080808088
SPY,2,ext_h1,ext,29,1,444,100,100.0,0.009015364197040574,0.00743196749558342,1.213052156430732,0.41,0.61,-0.2
SPY,3,ext_h1,ext,29,1,544,100,100.0,0.008543443930992154,0.008230214920061386,1.038058424229878,0.56,0.59,-0.029999999999999916
SPY,4,ext_h1,ext,29,1,644,100,100.0,0.00955055676114643,0.00800399950883811,1.1932230568730788,0.45,0.61,-0.15999999999999998
SPY,0,ext_h5,ext,29,5,240,100,20.0,0.0420040111339818,0.018996420921522227,2.2111539488153182,0.37,0.63,-0.26
SPY,1,ext_h5,ext,29,5,340,100,20.0,0.04175210887048286,0.01731396479183471,2.411470126713739,0.48,0.52,-0.040000000000000036
SPY,2,ext_h5,ext,29,5,440,100,20.0,0.02485986654811473,0.0179490683169662,1.3850226713225087,0.24,0.83,-0.59
SPY,3,ext_h5,ext,29,5,540,100,20.0,0.01783406438262426,0.018886909199667016,0.9442553143072601,0.64,0.61,0.030000000000000027
SPY,4,ext_h5,ext,29,5,640,96,19.2,0.027530357439298655,0.01923110548680722,1.4315535556801362,0.4270833333333333,0.6145833333333334,-0.18750000000000006
SPY,0,ext_h20,ext,29,20,225,100,5.0,0.09166243486953103,0.03852347259696197,2.379391801681962,0.28,0.72,-0.43999999999999995
SPY,1,ext_h20,ext,29,20,325,100,5.0,0.03316652376285298,0.029764744840725006,1.1142888655801126,0.54,0.5,0.040000000000000036
SPY,2,ext_h20,ext,29,20,425,100,5.0,0.06747092557735361,0.04473477111594726,1.508243451217777,0.15,0.98,-0.83
SPY,3,ext_h20,ext,29,20,525,100,5.0,0.03528995325455383,0.03702537646058848,0.9531288167216363,0.65,0.69,-0.039999999999999925
SPY,4,ext_h20,ext,29,20,625,81,4.0,0.04064888487653291,0.02748929714449634,1.4787167770373957,0.4567901234567901,0.9135802469135802,-0.4567901234567901
GOOGL,0,base_h1,base,18,1,444,100,100.0,0.024073386309139168,0.022314101313855115,1.0788418485037392,0.48,0.54,-0.06000000000000005
GOOGL,1,base_h1,base,18,1,544,100,100.0,0.01606144519366036,0.015379979539897996,1.0443086190065818,0.46,0.54,-0.08000000000000002
GOOGL,2,base_h1,base,18,1,644,100,100.0,0.01921451756101076,0.018527633920466625,1.0370734678530844,0.6,0.58,0.020000000000000018
GOOGL,3,base_h1,base,18,1,744,100,100.0,0.019134851841203757,0.018407034901135606,1.03954015103341,0.47,0.6,-0.13
GOOGL,4,base_h1,base,18,1,844,100,100.0,0.019905766192399366,0.01702068966564851,1.1695040908109366,0.5050505050505051,0.5858585858585859,-0.08080808080808077
GOOGL,0,ext_h1,ext,29,1,244,100,100.0,0.03057102728668253,0.022314101313855115,1.3700317506267026,0.52,0.54,-0.020000000000000018
GOOGL,1,ext_h1,ext,29,1,344,100,100.0,0.022536321990254113,0.015379979539897996,1.4653024688226328,0.42,0.54,-0.12000000000000005
GOOGL,2,ext_h1,ext,29,1,444,100,100.0,0.01941993225585675,0.018527633920466625,1.0481604040332664,0.59,0.58,0.010000000000000009
GOOGL,3,ext_h1,ext,29,1,544,100,100.0,0.019970959018416872,0.018407034901135606,1.0849633917510952,0.46,0.6,-0.13999999999999996
GOOGL,4,ext_h1,ext,29,1,644,100,100.0,0.02304808568653639,0.01702068966564851,1.3541217271032493,0.48484848484848486,0.5858585858585859,-0.101010101010101
GOOGL,0,ext_h5,ext,29,5,240,100,20.0,0.08189904470191887,0.052631160670074235,1.556094216035144,0.3434343434343434,0.6767676767676768,-0.33333333333333337
GOOGL,1,ext_h5,ext,29,5,340,100,20.0,0.048927445052875725,0.03556314340202949,1.3757907871013328,0.4,0.49,-0.08999999999999997
GOOGL,2,ext_h5,ext,29,5,440,100,20.0,0.04217473170972787,0.041200033216129986,1.0236577113538898,0.63,0.62,0.010000000000000009
GOOGL,3,ext_h5,ext,29,5,540,100,20.0,0.041495828140447645,0.03381797624243151,1.227034635158999,0.47,0.58,-0.10999999999999999
GOOGL,4,ext_h5,ext,29,5,640,96,19.2,0.0575890841453193,0.040805854009847875,1.4112946669715831,0.5,0.59375,-0.09375
GOOGL,0,ext_h20,ext,29,20,225,100,5.0,0.18054566630199945,0.10766076143786464,1.6769867116925383,0.25,0.77,-0.52
GOOGL,1,ext_h20,ext,29,20,325,100,5.0,0.10921293698624966,0.051721385389487805,2.111562483561139,0.36,0.57,-0.20999999999999996
GOOGL,2,ext_h20,ext,29,20,425,100,5.0,0.07340388290264721,0.06984808869711542,1.0509075376557675,0.52,0.72,-0.19999999999999996
GOOGL,3,ext_h20,ext,29,20,525,100,5.0,0.08849934825852054,0.07576355575230116,1.1680991920159787,0.45,0.67,-0.22000000000000003
GOOGL,4,ext_h20,ext,29,20,625,81,4.0,0.07027539074799159,0.07048109555935167,0.9970814186452756,0.6790123456790124,0.7283950617283951,-0.04938271604938271
AMZN,0,base_h1,base,18,1,444,100,100.0,0.02726826701312695,0.02359412832607858,1.155722586410931,0.52,0.57,-0.04999999999999993
AMZN,1,base_h1,base,18,1,544,100,100.0,0.02395734158687703,0.019121489546195147,1.2529014295146341,0.35714285714285715,0.5204081632653061,-0.163265306122449
AMZN,2,base_h1,base,18,1,644,100,100.0,0.018395404880971702,0.018353529164386456,1.0022816165877515,0.58,0.53,0.04999999999999993
AMZN,3,base_h1,base,18,1,744,100,100.0,0.02111069646838765,0.017144721976146877,1.2313233482443493,0.5050505050505051,0.5252525252525253,-0.02020202020202022
AMZN,4,base_h1,base,18,1,844,100,100.0,0.01849995931242772,0.018110448542478945,1.02150751645025,0.53,0.55,-0.020000000000000018
AMZN,0,ext_h1,ext,29,1,244,100,100.0,0.034744484572763,0.02359412832607858,1.4725903026627154,0.4,0.57,-0.16999999999999993
AMZN,1,ext_h1,ext,29,1,344,100,100.0,0.02364143857770917,0.019121489546195147,1.2363805926622184,0.4489795918367347,0.5204081632653061,-0.07142857142857145
AMZN,2,ext_h1,ext,29,1,444,100,100.0,0.01817245872953007,0.018353529164386456,0.9901342987915513,0.58,0.53,0.04999999999999993
AMZN,3,ext_h1,ext,29,1,544,100,100.0,0.023548801621682595,0.017144721976146877,1.3735306792636004,0.46464646464646464,0.5252525252525253,-0.06060606060606066
AMZN,4,ext_h1,ext,29,1,644,100,100.0,0.020225156586054765,0.018110448542478945,1.1167672925723329,0.56,0.55,0.010000000000000009
AMZN,0,ext_h5,ext,29,5,240,100,20.0,0.0783165999628427,0.05032243621942766,1.5562958760849401,0.35,0.67,-0.32000000000000006
AMZN,1,ext_h5,ext,29,5,340,100,20.0,0.05037186927955702,0.03626050705255064,1.3891661582822172,0.51,0.55,-0.040000000000000036
AMZN,2,ext_h5,ext,29,5,440,100,20.0,0.05395380189931889,0.03727781460823755,1.4473434793947477,0.39,0.76,-0.37
AMZN,3,ext_h5,ext,29,5,540,100,20.0,0.0615468725096567,0.03972800541697975,1.5492062051358753,0.49,0.48,0.010000000000000009
AMZN,4,ext_h5,ext,29,5,640,96,19.2,0.0437923112636096,0.040785050782561824,1.0737343811849211,0.59375,0.6458333333333334,-0.05208333333333337
AMZN,0,ext_h20,ext,29,20,225,100,5.0,0.20806946321422026,0.10187882651008728,2.0423229275576587,0.25,0.79,-0.54
AMZN,1,ext_h20,ext,29,20,325,100,5.0,0.06667525874163711,0.05766699303896657,1.1562118159444086,0.5454545454545454,0.6363636363636364,-0.09090909090909094
AMZN,2,ext_h20,ext,29,20,425,100,5.0,0.09532706216846266,0.07752528745953054,1.2296253944008262,0.18,0.97,-0.79
AMZN,3,ext_h20,ext,29,20,525,100,5.0,0.07739227740585543,0.06502985250685048,1.1901038434264117,0.55,0.51,0.040000000000000036
