number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mean_abs_pred,state
0,0.01651897160492806,2026-07-20 12:09:43.695297,2026-07-20 12:10:01.382349,0 days 00:00:17.687052,0.5780093202212182,0.06504856968981275,8,1.9131727158561844,256,2.1423021757741068,0.017073967431528128,0.7993292420985183,0.000740307613305049,COMPLETE
1,0.01657718373803261,2026-07-20 12:10:01.382349,2026-07-20 12:14:02.994470,0 days 00:04:01.612121,0.9162213204002109,0.001124579825911934,6,2.4183694578623256,381,0.0008260808399079611,0.053370327626039576,0.9849549260809971,0.0014486534380597127,COMPLETE
2,0.016930080609033248,2026-07-20 12:14:02.994470,2026-07-20 12:14:13.914013,0 days 00:00:10.919543,0.8059264473611898,0.01174843954800703,5,1.7862860951833994,217,0.006789053271698486,0.14742753159914673,0.645614570099021,0.0030761799779411374,COMPLETE
3,0.016582796199649294,2026-07-20 12:14:13.914013,2026-07-20 12:14:37.465816,0 days 00:00:23.551803,0.7962072844310213,0.003123317753376431,7,1.2131033589348426,301,0.0007122305833333872,2.69264691008618,0.7571172192068059,0.0017762045754141883,COMPLETE
4,0.018139927451126518,2026-07-20 12:14:37.465816,2026-07-20 12:14:39.770497,0 days 00:00:02.304681,0.6523068845866853,0.24659691172104828,8,1.5011131046198725,85,0.015876781526923997,5.456725485601478,0.9041986740582306,0.00615740520712355,COMPLETE
5,0.01650811928299645,2026-07-20 12:14:39.770497,2026-07-20 12:14:41.152142,0 days 00:00:01.381645,0.6293899908000085,0.0012167028814593455,5,15.726587018176797,117,0.039841905944346875,0.17654048052495078,0.954660201039391,0.0008010653309148476,COMPLETE
6,0.01651897160492806,2026-07-20 12:14:41.152142,2026-07-20 12:14:42.398133,0 days 00:00:01.245991,0.9697494707820946,0.25221951700214285,3,41.325606924648575,351,4.067908494359541,2.463768595899747,0.8875664116805573,0.000740307613305049,COMPLETE
7,0.016513350800695964,2026-07-20 12:14:42.398133,2026-07-20 12:14:43.491711,0 days 00:00:01.093578,0.6943386448447411,0.001294295611551122,3,3.0910440000196973,98,0.0060780830996819525,20.651425578959262,0.6626651653816322,0.0007514812171705596,COMPLETE
8,0.016518042525179136,2026-07-20 12:14:43.491711,2026-07-20 12:14:45.267959,0 days 00:00:01.776248,0.5372753218398854,0.0022340165853190056,5,60.603181143613796,204,0.0009853225172032562,12.273800987852969,0.9010984903770198,0.0008683426726589687,COMPLETE
9,0.017352945902700413,2026-07-20 12:14:45.267959,2026-07-20 12:14:48.530617,0 days 00:00:03.262658,0.8856351733429728,0.0563600475052774,7,1.360623498555892,53,0.00037961668958008145,0.27155819552829413,0.8645035840204937,0.004285309974872689,COMPLETE
10,0.01653221234495912,2026-07-20 12:14:48.530617,2026-07-20 12:14:51.034604,0 days 00:00:02.503987,0.7221758419412099,0.008191923351508625,2,10.937782703097641,570,0.2414692864254169,69.03717055434687,0.5089809378074099,0.0011728599361653476,COMPLETE
11,0.01651568675913938,2026-07-20 12:14:51.034604,2026-07-20 12:14:52.599447,0 days 00:00:01.564843,0.6486633922188373,0.0010561110831462217,4,6.088714348161229,135,0.04635246885913992,83.52117977766481,0.6577300426889016,0.0007488369682060919,COMPLETE
12,0.01651401349861976,2026-07-20 12:14:52.599447,2026-07-20 12:14:53.649821,0 days 00:00:01.050374,0.6616040028776509,0.0036379815635935613,2,17.152637245656923,138,0.16229300432542257,0.5821733634374942,0.5054912796753446,0.0007580604928310778,COMPLETE
13,0.01656527406307391,2026-07-20 12:14:53.649821,2026-07-20 12:14:55.305053,0 days 00:00:01.655232,0.7571114615865944,0.005040910186200039,4,4.633670118397357,134,0.007170711371768439,0.0114978838575115,0.9980082658737176,0.001457368702906251,COMPLETE
14,0.016509593103779138,2026-07-20 12:14:55.305053,2026-07-20 12:14:58.150520,0 days 00:00:02.845467,0.5065701578589044,0.0018411535520929006,3,23.72202696363941,498,0.00010982328448990178,18.077217437342384,0.6273157473204289,0.0010689781220905087,COMPLETE
15,0.017220358146276635,2026-07-20 12:14:58.150520,2026-07-20 12:15:02.265636,0 days 00:00:04.115116,0.5232246979025311,0.015928401790160137,4,23.414684638693554,600,0.0001055855896928314,0.8996422877096212,0.582778140692689,0.004357042674873507,COMPLETE
16,0.01650983131426344,2026-07-20 12:15:02.265636,2026-07-20 12:15:05.034872,0 days 00:00:02.769236,0.5707921208261757,0.002026399737984623,5,11.187743456360352,454,0.3883187366139531,0.04067641909222205,0.7463167709978714,0.000881318153966125,COMPLETE
17,0.01660068504248034,2026-07-20 12:15:05.034872,2026-07-20 12:15:09.228689,0 days 00:00:04.193817,0.5002408762749491,0.006493209435157225,3,29.02568595025285,499,0.00012785397302047096,15.368971931090913,0.5830163525257471,0.0020562784791980752,COMPLETE
18,0.01651897160492806,2026-07-20 12:15:09.228689,2026-07-20 12:15:12.780618,0 days 00:00:03.551929,0.5990354570277509,0.0020313223680948093,6,13.590427750763936,431,9.353400299724306,0.13448310656632534,0.8147171724534689,0.000740307613305049,COMPLETE
19,0.016504895980509627,2026-07-20 12:15:12.780618,2026-07-20 12:15:17.006761,0 days 00:00:04.226143,0.6114688799457563,0.023111454398523277,6,7.241251452249149,531,0.9614405798975302,0.8695411833561475,0.7163728055902457,0.0009065143284048341,COMPLETE
20,0.016511884838876577,2026-07-20 12:15:17.006761,2026-07-20 12:15:18.151961,0 days 00:00:01.145200,0.6091330191487017,0.027741754739207772,6,7.345106926798973,321,1.1510127440123834,0.7799822296995645,0.7276586166596097,0.0007609689956928681,COMPLETE
21,0.018687227645897895,2026-07-20 12:15:18.151961,2026-07-20 12:15:22.236841,0 days 00:00:04.084880,0.556098496535858,0.10631932942271861,7,21.545692485246256,527,0.03607801551891175,1.9708106143818986,0.5921257787688773,0.007465941652929662,COMPLETE
22,0.016531702887036696,2026-07-20 12:15:22.236841,2026-07-20 12:15:24.011466,0 days 00:00:01.774625,0.613848845036192,0.020625642075148762,5,8.435586200187606,432,0.7119075365893486,0.3117555377800391,0.6907670542494437,0.0010926392934052273,COMPLETE
23,0.017341146612626576,2026-07-20 12:15:24.011466,2026-07-20 12:15:28.493067,0 days 00:00:04.481601,0.6358358963685322,0.0332714743464489,6,35.67598233519967,518,0.10452206469664233,0.07519509074353897,0.9397871084308528,0.004680513908103421,COMPLETE
24,0.01655581031907969,2026-07-20 12:15:28.493067,2026-07-20 12:15:32.729446,0 days 00:00:04.236379,0.6946840600635387,0.003946956238486734,4,5.035283346811895,468,0.0024597384298785845,36.159771536315915,0.8106452018417596,0.0017091196817171788,COMPLETE
25,0.016503864112793275,2026-07-20 12:15:32.729446,2026-07-20 12:15:36.055776,0 days 00:00:03.326330,0.5023455120181812,0.001609904295299309,3,15.18526310390414,555,0.051147520747136424,7.825181268552129,0.6150823886253666,0.0010676731575264096,COMPLETE
26,0.016586145945137066,2026-07-20 12:15:36.055776,2026-07-20 12:15:38.083775,0 days 00:00:02.027999,0.5512163660700143,0.008671064212649763,2,3.748461457830972,401,0.06441837124210852,6.2288444722248615,0.5434080270689025,0.0018764090855085366,COMPLETE
27,0.01894970214312437,2026-07-20 12:15:38.083775,2026-07-20 12:15:43.721068,0 days 00:00:05.637293,0.7390135402481219,0.1576258197199696,7,14.492566359205137,556,0.024355807388576924,0.3690050010506078,0.7201219900800487,0.007628623514881383,COMPLETE
28,0.016697012934758854,2026-07-20 12:15:43.721068,2026-07-20 12:15:46.435545,0 days 00:00:02.714477,0.5916204960409672,0.042581297740594076,5,9.451651313394018,580,0.419124494327743,1.3262418663697102,0.616545470906328,0.0021536464090804656,COMPLETE
29,0.016518983303238213,2026-07-20 12:15:46.435545,2026-07-20 12:15:47.480202,0 days 00:00:01.044657,0.5823837459197899,0.0028596201110166622,8,17.098039947580222,247,1.547723904271705,5.964339834894851,0.7845001925533673,0.000740445353895969,COMPLETE
30,0.01651897160492806,2026-07-20 12:15:47.480202,2026-07-20 12:15:48.602943,0 days 00:00:01.122741,0.6733715214773275,0.10765097706850235,6,6.816016369716428,286,3.5866542452862507,0.02779342498538603,0.6909421186065914,0.000740307613305049,COMPLETE
31,0.016505893684459514,2026-07-20 12:15:48.602943,2026-07-20 12:15:51.403921,0 days 00:00:02.800978,0.5075767449631147,0.001700862526479251,3,23.970160942942737,481,0.0028506640448257145,10.743015849802516,0.6218132560316335,0.0010574677297706028,COMPLETE
32,0.016510633434697154,2026-07-20 12:15:51.403921,2026-07-20 12:15:54.258947,0 days 00:00:02.855026,0.5369487434650929,0.0014546029028940208,3,40.84919136080883,542,0.002343645346415818,39.953887029078224,0.5518638632727149,0.0008652187719586853,COMPLETE
33,0.016504015749271354,2026-07-20 12:15:54.258947,2026-07-20 12:15:57.942757,0 days 00:00:03.683810,0.6219469140731019,0.0010075615418074513,4,18.303643850251348,489,0.013074807889996973,0.12030378681756215,0.6862117584263523,0.0010422941181808861,COMPLETE
34,0.016640207293626422,2026-07-20 12:15:57.942757,2026-07-20 12:16:01.286627,0 days 00:00:03.343870,0.5683054483918301,0.005421365548961053,4,28.389356172401843,470,0.013904673623097186,4.799343170992077,0.6771346376386613,0.0022082332548760252,COMPLETE
35,0.016506453462887514,2026-07-20 12:16:01.286627,2026-07-20 12:16:03.668079,0 days 00:00:02.381452,0.5080976720599699,0.0010175365698418723,2,12.06278909809698,510,0.0024379715759761562,9.34720582126253,0.6331995435232266,0.0008527600439219896,COMPLETE
36,0.016519954137952368,2026-07-20 12:16:03.668079,2026-07-20 12:16:06.124199,0 days 00:00:02.456120,0.5392508692937532,0.0027129083746463526,3,20.711976088545622,401,0.009716217966365702,3.627410499722568,0.7108205000426832,0.0013346360372380084,COMPLETE
37,0.016523874490695558,2026-07-20 12:16:06.124199,2026-07-20 12:16:08.967879,0 days 00:00:02.843680,0.8466743730518109,0.0016575248985776483,4,61.89447774733864,485,0.0050804239532356785,0.08756225699509258,0.6066870753464051,0.001018194893888449,COMPLETE
38,0.01653921822135869,2026-07-20 12:16:08.967879,2026-07-20 12:16:12.465404,0 days 00:00:03.497525,0.6193746600973394,0.001594014391566015,3,1.011157525044445,545,0.0011581346981179021,1.7002271123448982,0.7678965090711055,0.0012700080344499153,COMPLETE
39,0.01661371917469882,2026-07-20 12:16:12.465404,2026-07-20 12:16:14.578813,0 days 00:00:02.113409,0.9899226356996808,0.010773740341844607,2,33.60284877799292,369,0.022742408496436023,35.8744098899311,0.6496245523902405,0.0019360633065107322,COMPLETE
