ticker,fold,method,train_days,test_days,rmse_ret,dir_acc
AAPL,0,lstm_price,505,100,0.023011,0.4848
AAPL,1,lstm_price,605,100,0.030914,0.46
AAPL,2,lstm_price,705,100,0.024466,0.5
AAPL,3,lstm_price,805,100,0.035595,0.38
AAPL,4,lstm_price,905,100,0.017133,0.4848
AAPL,0,lstm_returns,505,100,0.014156,0.5253
AAPL,1,lstm_returns,605,100,0.012532,0.55
AAPL,2,lstm_returns,705,100,0.011561,0.45
AAPL,3,lstm_returns,805,100,0.017361,0.63
AAPL,4,lstm_returns,905,100,0.011499,0.6061
AAPL,0,persistence_zero,505,100,0.014194,
AAPL,1,persistence_zero,605,100,0.012159,
AAPL,2,persistence_zero,705,100,0.011351,
AAPL,3,persistence_zero,805,100,0.017409,
AAPL,4,persistence_zero,905,100,0.011563,
AAPL,0,momentum,505,100,0.019648,0.4949
AAPL,1,momentum,605,100,0.015817,0.55
AAPL,2,momentum,705,100,0.014692,0.5
AAPL,3,momentum,805,100,0.024352,0.53
AAPL,4,momentum,905,100,0.015798,0.5051
AAPL,0,always_up,505,100,,0.5758
AAPL,1,always_up,605,100,,0.54
AAPL,2,always_up,705,100,,0.47
AAPL,3,always_up,805,100,,0.63
AAPL,4,always_up,905,100,,0.6061
MSFT,0,lstm_price,505,100,0.027678,0.57
MSFT,1,lstm_price,605,100,0.024047,0.49
MSFT,2,lstm_price,705,100,0.042825,0.42
MSFT,3,lstm_price,805,100,0.021882,0.47
MSFT,4,lstm_price,905,100,0.020244,0.47
MSFT,0,lstm_returns,505,100,0.018462,0.51
MSFT,1,lstm_returns,605,100,0.013863,0.58
MSFT,2,lstm_returns,705,100,0.012817,0.49
MSFT,3,lstm_returns,805,100,0.012841,0.54
MSFT,4,lstm_returns,905,100,0.012371,0.54
MSFT,0,persistence_zero,505,100,0.0184,
MSFT,1,persistence_zero,605,100,0.013885,
MSFT,2,persistence_zero,705,100,0.012893,
MSFT,3,persistence_zero,805,100,0.012577,
MSFT,4,persistence_zero,905,100,0.012389,
MSFT,0,momentum,505,100,0.024489,0.54
MSFT,1,momentum,605,100,0.020489,0.52
MSFT,2,momentum,705,100,0.019968,0.48
MSFT,3,momentum,805,100,0.01741,0.51
MSFT,4,momentum,905,100,0.017661,0.55
MSFT,0,always_up,505,100,,0.51
MSFT,1,always_up,605,100,,0.54
MSFT,2,always_up,705,100,,0.58
MSFT,3,always_up,805,100,,0.53
MSFT,4,always_up,905,100,,0.57
SPY,0,lstm_price,505,100,0.013178,0.48
SPY,1,lstm_price,605,100,0.012928,0.4848
SPY,2,lstm_price,705,100,0.015578,0.4
SPY,3,lstm_price,805,100,0.016805,0.41
SPY,4,lstm_price,905,100,0.014765,0.43
SPY,0,lstm_returns,505,100,0.009593,0.51
SPY,1,lstm_returns,605,100,0.007133,0.4848
SPY,2,lstm_returns,705,100,0.007432,0.47
SPY,3,lstm_returns,805,100,0.008223,0.49
SPY,4,lstm_returns,905,100,0.007987,0.54
SPY,0,persistence_zero,505,100,0.009631,
SPY,1,persistence_zero,605,100,0.007082,
SPY,2,persistence_zero,705,100,0.007432,
SPY,3,persistence_zero,805,100,0.00823,
SPY,4,persistence_zero,905,100,0.008004,
SPY,0,momentum,505,100,0.013758,0.44
SPY,1,momentum,605,100,0.009411,0.5051
SPY,2,momentum,705,100,0.010108,0.54
SPY,3,momentum,805,100,0.011108,0.61
SPY,4,momentum,905,100,0.011045,0.49
SPY,0,always_up,505,100,,0.54
SPY,1,always_up,605,100,,0.5253
SPY,2,always_up,705,100,,0.61
SPY,3,always_up,805,100,,0.59
SPY,4,always_up,905,100,,0.61
GOOGL,0,lstm_price,505,100,0.037173,0.58
GOOGL,1,lstm_price,605,100,0.028744,0.54
GOOGL,2,lstm_price,705,100,0.031237,0.53
GOOGL,3,lstm_price,805,100,0.032389,0.44
GOOGL,4,lstm_price,905,100,0.02811,0.4848
GOOGL,0,lstm_returns,505,100,0.022483,0.54
GOOGL,1,lstm_returns,605,100,0.015248,0.56
GOOGL,2,lstm_returns,705,100,0.018383,0.51
GOOGL,3,lstm_returns,805,100,0.018466,0.53
GOOGL,4,lstm_returns,905,100,0.016915,0.6061
GOOGL,0,persistence_zero,505,100,0.022314,
GOOGL,1,persistence_zero,605,100,0.01538,
GOOGL,2,persistence_zero,705,100,0.018528,
GOOGL,3,persistence_zero,805,100,0.018407,
GOOGL,4,persistence_zero,905,100,0.017021,
GOOGL,0,momentum,505,100,0.030183,0.52
GOOGL,1,momentum,605,100,0.021538,0.48
GOOGL,2,momentum,705,100,0.025541,0.56
GOOGL,3,momentum,805,100,0.02726,0.49
GOOGL,4,momentum,905,100,0.021653,0.5253
GOOGL,0,always_up,505,100,,0.54
GOOGL,1,always_up,605,100,,0.54
GOOGL,2,always_up,705,100,,0.58
GOOGL,3,always_up,805,100,,0.6
GOOGL,4,always_up,905,100,,0.5859
AMZN,0,lstm_price,505,100,0.046167,0.57
AMZN,1,lstm_price,605,100,0.033152,0.5816
AMZN,2,lstm_price,705,100,0.031041,0.55
AMZN,3,lstm_price,805,100,0.030317,0.4444
AMZN,4,lstm_price,905,100,0.036447,0.51
AMZN,0,lstm_returns,505,100,0.023921,0.46
AMZN,1,lstm_returns,605,100,0.019138,0.5102
AMZN,2,lstm_returns,705,100,0.018365,0.52
AMZN,3,lstm_returns,805,100,0.017199,0.5253
AMZN,4,lstm_returns,905,100,0.01808,0.57
AMZN,0,persistence_zero,505,100,0.023594,
AMZN,1,persistence_zero,605,100,0.019121,
AMZN,2,persistence_zero,705,100,0.018354,
AMZN,3,persistence_zero,805,100,0.017145,
AMZN,4,persistence_zero,905,100,0.01811,
AMZN,0,momentum,505,100,0.034417,0.55
AMZN,1,momentum,605,100,0.028283,0.3776
AMZN,2,momentum,705,100,0.02516,0.52
AMZN,3,momentum,805,100,0.022656,0.5152
AMZN,4,momentum,905,100,0.026473,0.53
AMZN,0,always_up,505,100,,0.57
AMZN,1,always_up,605,100,,0.5204
AMZN,2,always_up,705,100,,0.53
AMZN,3,always_up,805,100,,0.5253
AMZN,4,always_up,905,100,,0.55
META,0,lstm_price,505,100,0.0699,0.48
META,1,lstm_price,605,100,0.029148,0.5354
META,2,lstm_price,705,100,0.054689,0.42
META,3,lstm_price,805,100,0.040612,0.5
META,4,lstm_price,905,100,0.028908,0.5051
META,0,lstm_returns,505,100,0.033931,0.47
META,1,lstm_returns,605,100,0.018533,0.5152
META,2,lstm_returns,705,100,0.026693,0.48
META,3,lstm_returns,805,100,0.022667,0.52
META,4,lstm_returns,905,100,0.015378,0.5051
META,0,persistence_zero,505,100,0.033597,
META,1,persistence_zero,605,100,0.018576,
META,2,persistence_zero,705,100,0.026817,
META,3,persistence_zero,805,100,0.022698,
META,4,persistence_zero,905,100,0.015417,
META,0,momentum,505,100,0.045938,0.48
META,1,momentum,605,100,0.026874,0.4646
META,2,momentum,705,100,0.039273,0.48
META,3,momentum,805,100,0.032363,0.53
META,4,momentum,905,100,0.022025,0.4545
META,0,always_up,505,100,,0.53
META,1,always_up,605,100,,0.5253
META,2,always_up,705,100,,0.55
META,3,always_up,805,100,,0.56
META,4,always_up,905,100,,0.5051
NVDA,0,lstm_price,505,100,0.068074,0.43
NVDA,1,lstm_price,605,100,0.060191,0.47
NVDA,2,lstm_price,705,100,0.039045,0.4444
NVDA,3,lstm_price,805,100,0.078823,0.53
NVDA,4,lstm_price,905,100,0.051978,0.52
NVDA,0,lstm_returns,505,100,0.039056,0.52
NVDA,1,lstm_returns,605,100,0.025232,0.5
NVDA,2,lstm_returns,705,100,0.028571,0.6263
NVDA,3,lstm_returns,805,100,0.036251,0.55
NVDA,4,lstm_returns,905,100,0.028542,0.5
NVDA,0,persistence_zero,505,100,0.039352,
NVDA,1,persistence_zero,605,100,0.025173,
NVDA,2,persistence_zero,705,100,0.029179,
NVDA,3,persistence_zero,805,100,0.036735,
NVDA,4,persistence_zero,905,100,0.028089,
NVDA,0,momentum,505,100,0.052925,0.62
NVDA,1,momentum,605,100,0.036757,0.53
NVDA,2,momentum,705,100,0.040302,0.5354
NVDA,3,momentum,805,100,0.056437,0.47
NVDA,4,momentum,905,100,0.038668,0.47
NVDA,0,always_up,505,100,,0.61
NVDA,1,always_up,605,100,,0.5
NVDA,2,always_up,705,100,,0.6263
NVDA,3,always_up,805,100,,0.53
NVDA,4,always_up,905,100,,0.55
JPM,0,lstm_price,505,100,0.029294,0.59
JPM,1,lstm_price,605,100,0.020998,0.54
JPM,2,lstm_price,705,100,0.026988,0.35
JPM,3,lstm_price,805,100,0.025147,0.51
JPM,4,lstm_price,905,100,0.026309,0.49
JPM,0,lstm_returns,505,100,0.017004,0.42
JPM,1,lstm_returns,605,100,0.009924,0.53
JPM,2,lstm_returns,705,100,0.009346,0.34
JPM,3,lstm_returns,805,100,0.014703,0.56
JPM,4,lstm_returns,905,100,0.017304,0.54
JPM,0,persistence_zero,505,100,0.016788,
JPM,1,persistence_zero,605,100,0.009916,
JPM,2,persistence_zero,705,100,0.009125,
JPM,3,persistence_zero,805,100,0.014799,
JPM,4,persistence_zero,905,100,0.017338,
JPM,0,momentum,505,100,0.025172,0.48
JPM,1,momentum,605,100,0.013731,0.51
JPM,2,momentum,705,100,0.012643,0.47
JPM,3,momentum,805,100,0.019916,0.58
JPM,4,momentum,905,100,0.027129,0.54
JPM,0,always_up,505,100,,0.53
JPM,1,always_up,605,100,,0.53
JPM,2,always_up,705,100,,0.66
JPM,3,always_up,805,100,,0.55
JPM,4,always_up,905,100,,0.58
XOM,0,lstm_price,505,100,0.033017,0.58
XOM,1,lstm_price,605,100,0.024924,0.54
XOM,2,lstm_price,705,100,0.018911,0.5051
XOM,3,lstm_price,805,100,0.019285,0.4242
XOM,4,lstm_price,905,100,0.027286,0.49
XOM,0,lstm_returns,505,100,0.017841,0.48
XOM,1,lstm_returns,605,100,0.015016,0.57
XOM,2,lstm_returns,705,100,0.012011,0.4747
XOM,3,lstm_returns,805,100,0.011468,0.5253
XOM,4,lstm_returns,905,100,0.01284,0.47
XOM,0,persistence_zero,505,100,0.017767,
XOM,1,persistence_zero,605,100,0.015078,
XOM,2,persistence_zero,705,100,0.011938,
XOM,3,persistence_zero,805,100,0.011492,
XOM,4,persistence_zero,905,100,0.012698,
XOM,0,momentum,505,100,0.02498,0.53
XOM,1,momentum,605,100,0.020846,0.54
XOM,2,momentum,705,100,0.01682,0.4949
XOM,3,momentum,805,100,0.015886,0.5556
XOM,4,momentum,905,100,0.01731,0.58
XOM,0,always_up,505,100,,0.48
XOM,1,always_up,605,100,,0.57
XOM,2,always_up,705,100,,0.4747
XOM,3,always_up,805,100,,0.5253
XOM,4,always_up,905,100,,0.47
KO,0,lstm_price,505,100,0.013247,0.4796
KO,1,lstm_price,605,100,0.01953,0.4747
KO,2,lstm_price,705,100,0.013162,0.5253
KO,3,lstm_price,805,100,0.016704,0.4898
KO,4,lstm_price,905,100,0.021857,0.4796
KO,0,lstm_returns,505,100,0.008094,0.4796
KO,1,lstm_returns,605,100,0.009192,0.4949
KO,2,lstm_returns,705,100,0.007795,0.5556
KO,3,lstm_returns,805,100,0.007842,0.602
KO,4,lstm_returns,905,100,0.008481,0.4898
KO,0,persistence_zero,505,100,0.007926,
KO,1,persistence_zero,605,100,0.009156,
KO,2,persistence_zero,705,100,0.007824,
KO,3,persistence_zero,805,100,0.007921,
KO,4,persistence_zero,905,100,0.008419,
KO,0,momentum,505,100,0.011807,0.5408
KO,1,momentum,605,100,0.013337,0.4444
KO,2,momentum,705,100,0.011321,0.404
KO,3,momentum,805,100,0.011043,0.5204
KO,4,momentum,905,100,0.011982,0.5102
KO,0,always_up,505,100,,0.4796
KO,1,always_up,605,100,,0.4949
KO,2,always_up,705,100,,0.5657
KO,3,always_up,805,100,,0.602
KO,4,always_up,905,100,,0.4898
